,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,corenet,Jupyter Notebook
22,cups,C
23,darwin-libplatform,C
24,darwin-libpthread,C
25,darwin-xnu,C
26,device-management,
27,dmel-demo,HTML
28,dnikit,Python
29,eidas,Go
30,example-package-dealer,Swift
31,example-package-deckofplayingcards,Swift
32,example-package-figlet,Swift
33,example-package-fisheryates,Swift
34,example-package-playingcard,Swift
35,FHIRModels,Swift
36,foundationdb,C++
37,fstools,C
38,game-center-tools,Python
39,GCGC,Jupyter Notebook
40,homebrew-apple,Ruby
41,HomeKitADK,C
42,learning-compressible-subspaces,Python
43,learning-subspaces,Python
44,live-caller-id-lookup-example,Swift
45,llvm-monorepo-root,
46,llvm-project-v5,C++
47,llvm-project-v5-split,C++
48,ml-4m,Python
49,ml-acn-embed,Python
50,ml-act,Python
51,ml-ademamix,Python
52,ml-afv,Python
53,ml-agm,Python
54,ml-aim,Python
55,ml-all-pairs,Python
56,ml-ane-transformers,Python
57,ml-aspanformer,Python
58,ml-aura,Python
59,ml-autofocusformer,Python
60,ml-autofocusformer-segmentation,Python
61,ml-batchquant,Python
62,ml-behavioral-testing-for-mt,
63,ml-bilevel-train-dist,Python
64,ml-bloop,Python
65,ml-calibration,Jupyter Notebook
66,ml-capsules-inverted-attention-routing,Python
67,ml-cifar-10-faster,Python
68,ml-code-switched-speech-translation,Python
69,ml-codeswitching-translations,
70,ml-collegial-ensembles,Python
71,ml-compress-and-compare,Python
72,ml-core,Python
73,ml-covid-mobility,R
74,ml-cread,Python
75,ml-cross-entropy,Python
76,ml-cubifyanything,Python
77,ml-cvnets,Python
78,ml-cvpr2019-swd,Python
79,ml-dab,Python
80,ml-data-parameters,Python
81,ml-dataset-decomposition,Python
82,ml-delphi,
83,ml-depth-pro,Python
84,ml-destseg,Python
85,ml-diffusion-alignment-gflownet,Python
86,ml-direct2.5,Python
87,ml-divide-or-conquer,Python
88,ml-dms-dataset,Python
89,ml-dprecs,Jupyter Notebook
90,ml-dr,Python
91,ml-duet,Python
92,ml-entity-deduction-arena,Python
93,ml-entropy-reconstruction,Python
94,ml-envmapnet,Python
95,ml-equivariant-neural-rendering,Jupyter Notebook
96,ml-facelit,Python
97,ml-famae,Python
98,ml-fastvit,Python
99,ml-fct,Python
100,ml-ferret,Python
101,ml-finerecon,Python
102,ml-flair,Jupyter Notebook
103,ml-flextok,Jupyter Notebook
104,ml-gaudi,
105,ml-gbc,Python
106,ml-gendered-translation,Ruby
107,ml-gmpi,Python
108,ml-gsm-symbolic,
109,ml-gsn,Python
110,ml-hd-gist,Python
111,ml-heart-rate-models,Python
112,ml-hierarchical-confusion-matrix,TypeScript
113,ml-hugs,Python
114,ml-hypercloning,Python
115,ml-hypersim,Python
116,ml-interactive-data-augmentation,Svelte
117,ml-internal-llms-instruction-following,Python
118,ml-interspeech2022-phi_rtn,
119,ml-jointnet,Python
120,ml-key-retrieval-code-tasks,Python
121,ml-keyframer,JavaScript
122,ml-kg-mt,Python
123,ml-kge,Python
124,ml-knowledge-conflicts,Python
125,ml-kpconvx,Python
126,ml-live-pose,
127,ml-llarp,Python
128,ml-lucid-datagen,Python
129,ml-mad-bench,Jupyter Notebook
130,ml-matrix3d,Python
131,ml-mcf,Python
132,ml-mdm,Python
133,ml-mgie,Python
134,ml-mia-bench,Jupyter Notebook
135,ml-MixupMP,Python
136,ml-mkqa,Python
137,ml-mobileclip,Python
138,ml-mobileone,Swift
139,ml-mofi,Python
140,ml-multiple-futures-prediction,Python
141,ml-mycelium,JavaScript
142,ml-ncg,Python
143,ml-negative-sampling,Python
144,ml-neilf,Python
145,ml-neilfpp,Python
146,ml-neuman,Python
147,ml-no-token-left-behind,Jupyter Notebook
148,ml-np-rasp,Python
149,ml-nvas3d,Python
150,ml-ogen,Python
151,ml-pgdvs,Python
152,ml-planner,Python
153,ml-pointconvformer,Python
154,ml-pointersect,Python
155,ml-probabilistic-attention,Python
156,ml-projunit,Python
157,ml-qrecc,Python
158,ml-quant,Python
159,ml-recurrent-drafter,Python
160,ml-reed,Python
161,ml-reversal-blessing,Python
162,ml-rlgrad,Python
163,ml-robust-expert-augmentations,Python
164,ml-rpm-bench,Python
165,ml-sad,Python
166,ml-sage-dialog-gen,Python
167,ml-sampleplan,Python
168,ml-selfcond,Python
169,ml-shuffling-amplification,Python
170,ml-sigma-reparam,Python
171,ml-sigmoid-attention,Python
172,ml-slowfast-llava,Python
173,ml-spatial-librispeech,
174,ml-speech-is-more-than-words,
175,ml-spin,Python
176,ml-stable-diffusion,Python
177,ml-stabledreamer,
178,ml-stuttering-events-dataset,Python
179,ml-superposition-prompting,Python
180,ml-symphony,Svelte
181,ml-tarflow,Python
182,ml-tic-clip,Python
183,ml-tic-lm,Python
184,ml-toad,Python
185,ml-tract,Python
186,ml-transcript-translation-consistency-ratings,
187,ml-translate-vis,TypeScript
188,ml-tree-dst,Python
189,ml-tune-mode-convbn,Python
190,ml-tweak,Python
191,ml-uncertainty-llms-instruction-following,Python
192,ml-upscale,Jupyter Notebook
193,ml-uwac,Python
194,ml-veclip,Jupyter Notebook
195,ml-vfi-smiff,Python
196,ml-vfm-kt,
197,ml-vision-transformers-ane,Python
198,ml-vivid,Python
199,music-feed-examples,Java
200,openjdk,Java
201,parameterized-transforms,Python
202,password-manager-resources,JavaScript
203,pfl-research,Jupyter Notebook
204,pkl,Java
205,pkl-evolution,
206,pkl-go,Go
207,pkl-go-examples,Go
208,pkl-intellij,Kotlin
209,pkl-jvm-examples,Groovy
210,pkl-k8s,Pkl
211,pkl-k8s-examples,Pkl
212,pkl-lang.org,JavaScript
213,pkl-lsp,Kotlin
214,pkl-neovim,Scheme
215,pkl-package-docs,Kotlin
216,pkl-pantry,Pkl
217,pkl-project-commons,Pkl
218,pkl-spring,Java
219,pkl-swift,Swift
220,pkl-swift-examples,Swift
221,pkl-vscode,TypeScript
222,pkl.tmbundle,Pkl
223,pytorch-speech-features,Python
224,rules_pkl,Starlark
225,sample-backyard-birds,Swift
226,sample-cloudkit-coredatasync,Swift
227,sample-cloudkit-encryption,Swift
228,sample-cloudkit-privatedb,Swift
229,sample-cloudkit-privatedb-sync,Swift
230,sample-cloudkit-queries,Swift
231,sample-cloudkit-sharing,Swift
232,sample-cloudkit-sync-engine,Swift
233,sample-cloudkit-tooling,JavaScript
234,sample-cloudkit-zonesharing,Swift
235,sample-fbounds-safety-adoption,HTML
236,sample-food-truck,Swift
237,security-pcc,Swift
238,servicetalk,Java
239,swift-3-api-guidelines-review,Swift
240,swift-algorithms,Swift
241,swift-argument-parser,Swift
242,swift-asn1,Swift
243,swift-async-algorithms,Swift
244,swift-async-dns-resolver,Swift
245,swift-atomics,Swift
246,swift-cassandra-client,Swift
247,swift-certificates,Swift
248,swift-clang,C++
249,swift-clang-tools-extra,C++
250,swift-cluster-membership,Swift
251,swift-cmake-examples,CMake
252,swift-collections,Swift
253,swift-collections-benchmark,Swift
254,swift-compiler-rt,C
255,swift-container-plugin,Swift
256,swift-crypto,Assembly
257,swift-distributed-actors,Swift
258,swift-distributed-tracing,Swift
259,swift-distributed-tracing-baggage-core,Swift
260,swift-distributed-tracing-extras,Swift
261,swift-embedded-examples,Swift
262,swift-evolution-staging,Swift
263,swift-for-wasm-examples,Swift
264,swift-getting-started-cli,Swift
265,swift-getting-started-package-library,Swift
266,swift-homomorphic-encryption,Swift
267,swift-homomorphic-encryption-protobuf,
268,swift-http-structured-headers,Swift
269,swift-http-types,Swift
270,swift-internals,HTML
271,swift-issues,
272,swift-libcxx,C++
273,swift-llbuild2,Swift
274,swift-lldb,C++
275,swift-llvm,LLVM
276,swift-log,Swift
277,swift-matter-examples,Swift
278,swift-metrics,Swift
279,swift-metrics-extras,Swift
280,swift-migration-guide,Markdown
281,swift-mmio,Swift
282,swift-nio,Swift
283,swift-nio-examples,Swift
284,swift-nio-extras,Swift
285,swift-nio-http2,Swift
286,swift-nio-imap,Swift
287,swift-nio-nghttp2-support,Swift
288,swift-nio-oblivious-http,Swift
289,swift-nio-ssh,Swift
290,swift-nio-ssl,Assembly
291,swift-nio-ssl-support,Swift
292,swift-nio-transport-services,Swift
293,swift-nio-zlib-support,Swift
294,swift-numerics,Swift
295,swift-openapi-generator,Swift
296,swift-openapi-runtime,Swift
297,swift-openapi-urlsession,Swift
298,swift-playdate-examples,Swift
299,swift-protobuf,Swift
300,swift-protobuf-plugin,
301,swift-protobuf-test-conformance,
302,swift-sample-distributed-actors-transport,Swift
303,swift-service-context,Swift
304,swift-service-discovery,Swift
305,swift-standard-library-preview,Swift
306,swift-statsd-client,Swift
307,swift-string-processing-benchmarks,Swift
308,swift-system,Swift
309,swift-tools-support-async,Swift
310,swift-xcode-playground-support,Swift
311,swiftpm-on-llbuild2,Swift
312,tensor-visualizer,Svelte
313,tensorflow_macos,Shell
314,ToolSandbox,Python
315,tree-sitter-pkl,Kotlin
316,turicreate,C++
317,unityplugins,C#
318,VideoFlashingReduction,Mathematica
319,visatronic-demo,HTML
320,vqg-multimodal-assistant,Python
